Samples,Actb ,Adam10 ,Adam33 ,Alk ,Angpt2 ,Ankk1 ,Aqp1 ,Bambi ,Bdnf ,Bmpr1a ,Bmpr1b ,Ccl19 ,Ccr4 ,Ccr5 ,Ccr7 ,Ccr8 ,Cdh11 ,Cdh2 ,Cdh6 ,Cdh7 ,Cfc1b ,Col2a1 ,Cxcl12 ,Cxcr4 ,Cxcr5 ,Dlx5 ,Dsp ,Ednra ,Elav4 ,Epha1 ,Epha2 ,Epha3 ,Epha4 ,Epha6 ,Ephb1 ,Ephb3 ,Erbb2 ,Fgf4 ,Fgf8 ,Fgfr1 ,Fgfr2 ,Fgfr3 ,Foxd3 ,Gapdh ,Gpc3 ,Hand2 ,Hprt ,Il8 ,Isl1 ,Itga1 ,Itga4 ,Itga6 ,Itga9 ,Itgav ,Itgb1 ,Itgb5 ,Kdr ,Krt15 ,Mbp ,Mitf ,Mmp2 ,Mmp9 ,Msx1 ,Ncam2 ,Nedd9 ,Nefm ,Nes ,Notch1 ,Nrg1 ,Nrg2 ,Nrp1 ,Nrp2 ,Pax3 ,Pcdh1 ,Pcdh19 ,Pdgfrl ,Perp ,Phox2b ,Pkp2 ,Rhoa ,Robo1 ,Robo2 ,Rplpo ,Runx2 ,Slit1 ,Slit2 ,S0il1 ,Sox10 ,Spon1 ,Tfap2a ,Tgfbr1 ,Th ,Uncb5 ,Vcam ,Wisp1 ,Ywhaz ,
04 min no VEGF_1,1.57E-01,1.95E-01,-2.33E-02,1.14E+00,0,2.69E-01,-5.80E-01,-2.95E-01,-1.13E+00,4.99E-01,-1.56E-01,0,-1.23E+00,0,0,0,2.60E-01,1.12E-01,4.12E-01,5.44E-01,-5.62E-01,-1.77E-01,-7.98E-01,1.64E-02,-1.25E+00,0,-2.71E-01,-7.72E-02,-7.40E-01,0,2.16E-02,-8.87E-01,3.69E-01,0,-3.14E-01,5.74E-02,6.92E-03,0,0,-1.80E-02,-5.20E-01,3.22E-02,6.77E-02,3.27E-04,-4.25E-01,0,-1.44E-01,-2.47E-01,6.52E-01,-3.05E-01,1.78E-01,-2.31E-01,7.44E-02,-2.02E-02,-6.41E-03,-9.92E-02,-2.47E-01,0,0,2.50E-02,-9.73E-02,-3.40E-01,-4.60E-01,2.54E-01,-6.07E-01,-9.11E-02,-9.90E-02,-9.40E-02,-9.52E-01,0,-1.76E-01,1.38E-01,4.33E-01,4.36E-01,-1.08E-01,-3.52E-01,-7.20E-01,0,-5.60E-01,-1.57E-01,1.13E-01,-3.70E-01,-2.64E-01,0,5.63E-01,2.78E-01,0,5.75E-02,-8.57E-02,1.36E-01,-1.60E-01,0,-3.80E-01,0,0,-1.89E-01,20
04 min no VEGF_2,7.24E-02,7.40E-03,2.86E-01,0,0,0,0,5.03E-01,-3.59E-01,3.77E-01,-1.14E-01,0,0,0,0,1.57E-01,-2.23E-02,-5.06E-02,0,-3.45E-01,5.09E-01,1.58E-01,-2.54E-01,-2.64E-01,0,0,6.25E-01,0,0,0,6.98E-01,1.59E-01,2.93E-01,0,0,7.98E-01,4.94E-01,0,0,-9.38E-02,5.57E-01,2.97E-01,-5.86E-02,1.46E-02,3.54E-01,0,-2.00E-01,1.22E+00,0,0,-1.15E-01,6.67E-01,-4.42E-01,5.19E-01,2.36E-01,5.43E-01,7.59E-01,0,0,0,2.30E-02,3.92E-01,0,1.10E+00,0,-8.90E-01,3.14E-01,-3.52E-01,0,0,4.24E-01,-6.19E-02,0,7.87E-02,-3.53E-01,1.42E-01,0,0,4.91E-01,-8.70E-02,-2.48E-01,-1.06E-01,-7.74E-02,0,1.10E-01,5.09E-01,-5.34E-01,-4.00E-01,5.96E-01,2.98E-01,-2.81E-01,0,4.79E-01,0,0,-7.96E-02,35
60 min no VEGF_1,5.94E-02,-2.21E-01,3.23E-02,3.55E-01,0,2.49E-01,-5.80E-01,-4.52E-01,-6.72E-01,-3.79E-01,-3.91E-01,0,-1.16E+00,-8.70E-01,0,-1.08E+00,-1.03E-01,-3.11E-01,1.51E-01,-5.17E-01,0,-1.94E-01,3.05E-02,-2.07E-01,-1.05E+00,0,-4.44E-01,-4.68E-01,-8.62E-01,0,1.99E-01,-2.44E-01,-5.08E-01,0,-3.37E-01,-5.99E-03,-1.48E-01,0,-4.12E-01,-3.96E-01,-3.57E-01,4.47E-02,-2.78E-01,9.28E-02,-8.88E-01,0,-5.39E-01,0,0,-4.26E-01,-1.40E-01,-1.36E-01,-2.43E-01,1.11E-01,-2.25E-01,3.03E-01,-9.42E-03,0,0,-2.83E-01,1.92E-02,0,0,4.59E-02,-6.53E-01,-7.43E-01,3.01E-02,-5.18E-02,-2.39E-01,0,-5.04E-02,-1.32E-01,-1.12E+00,1.33E-01,-5.17E-01,-5.55E-01,0,-4.73E-01,-6.24E-01,-1.52E-01,-2.56E-01,-4.27E-01,-1.28E-01,-1.87E-01,1.62E-01,-1.97E-02,-6.26E-01,-2.20E-01,2.79E-01,-6.71E-01,-3.97E-01,0,-3.99E-01,0,0,-1.50E-01,20
60 min no VEGF_2,2.28E-01,-8.34E-01,-9.14E-01,0,-1.54E+00,-3.50E-01,-1.09E+00,-1.20E+00,-1.44E+00,-6.11E-01,-7.29E-01,0,-1.65E+00,-1.79E+00,-8.85E-01,-1.77E+00,-7.73E-01,-6.35E-01,-3.37E-01,-7.09E-01,-1.10E+00,-7.83E-01,-1.06E+00,-8.20E-01,-1.35E+00,0,-2.10E-01,-1.30E+00,-7.81E-01,0,-6.51E-01,0,-1.74E-01,0,-4.65E-01,-7.69E-01,-7.39E-01,0,-9.04E-01,-7.36E-01,-7.40E-01,-6.62E-01,-8.88E-02,1.04E-01,-1.18E+00,-1.19E+00,-4.22E-01,-4.45E-01,0,-1.13E+00,-4.59E-01,-5.03E-01,-7.66E-01,-6.98E-01,-8.33E-01,-6.36E-01,0,-1.06E+00,0,-2.15E-01,-1.15E+00,0,-9.23E-01,-6.66E-01,-1.51E+00,-3.79E-01,-3.93E-01,-5.89E-01,-8.11E-01,0,-1.00E+00,-7.31E-01,-1.39E-01,-3.24E-01,-8.57E-01,-1.45E+00,-1.30E+00,0,-1.35E+00,-3.32E-01,-7.71E-01,-9.79E-01,-2.33E-01,-9.37E-01,-6.76E-01,-3.43E-01,-8.33E-01,-1.30E-01,-7.89E-01,-2.45E-01,-7.72E-01,0,-9.60E-01,0,0,-3.26E-01,16
08 min no VEGF_1,1.91E-01,-1.72E-01,-1.00E-01,3.70E-01,-7.50E-01,0,-2.07E-01,-1.82E-01,-4.42E-01,-6.73E-02,-7.75E-01,0,-5.04E-01,-2.42E-01,0,-6.47E-01,-9.66E-02,-3.62E-01,-5.20E-01,-6.73E-01,0,-4.64E-01,-3.60E-01,-3.18E-01,-5.31E-01,0,-2.09E-01,-4.24E-01,0,0,-3.37E-01,-4.22E-01,-1.32E-01,0,-3.78E-01,-5.95E-01,-2.44E-01,0,0,-4.24E-01,-3.46E-01,-3.04E-01,-3.42E-01,1.94E-02,-3.52E-01,0,-6.97E-01,-1.07E-01,0,-5.51E-01,4.25E-02,2.06E-01,-4.67E-01,-3.11E-01,-3.95E-01,-3.23E-01,2.49E-01,-6.13E-01,0,-2.52E-01,1.42E-01,0,-6.68E-01,0,-5.57E-01,-7.39E-01,-3.24E-01,-5.53E-01,0,0,-2.38E-01,-1.52E-01,-5.95E-01,1.52E-01,-3.30E-01,0,-6.12E-01,0,-3.68E-01,-2.10E-01,-5.80E-02,-1.06E+00,-3.18E-01,0,8.06E-03,-5.49E-01,0,-5.48E-02,-2.76E-04,2.94E-02,-3.54E-01,0,0,0,0,-2.43E-01,25
08 min no VEGF_2,6.58E-02,-8.13E-02,-5.16E-02,0,-2.94E-01,3.36E-01,-8.57E-02,1.21E-01,-3.25E-01,-4.33E-01,-5.63E-01,0,-9.35E-01,1.30E-03,0,8.12E-02,9.09E-02,-1.63E-01,0,5.78E-02,-1.46E-01,-1.12E-02,5.69E-02,3.21E-02,-4.15E-02,0,0,-1.31E-01,-1.95E-01,0,2.85E-01,-1.79E-01,-1.52E-01,0,-1.45E-01,2.04E-01,-3.84E-01,0,-1.24E-01,1.99E-02,-3.92E-01,-1.08E-01,-1.89E-02,-4.98E-03,4.26E-02,0,-1.65E-01,1.39E-01,7.20E-01,4.13E-02,-2.90E-01,-4.34E-02,-3.37E-01,-7.17E-02,2.34E-01,-9.21E-02,2.32E-01,0,0,2.65E-01,1.70E-01,-5.38E-02,0,0,0,-6.91E-02,-4.11E-01,1.57E-01,0,0,-4.32E-02,2.10E-01,-3.92E-01,5.37E-02,-2.73E-01,1.26E-01,0,2.09E-01,-3.83E-02,-6.08E-02,2.12E-02,-1.90E-01,-1.86E-01,0,-3.32E-01,4.05E-01,1.87E-01,-1.75E-01,1.16E-01,-1.93E-01,-7.77E-01,0,0,0,0,-1.45E-01,23
90 min no VEGF_1,6.47E-02,-2.47E-01,-3.60E-01,8.99E-01,-5.81E-01,-1.17E-01,-2.57E-01,-1.25E-02,-2.86E-01,-2.80E-01,-5.37E-01,0,-7.83E-01,-6.89E-01,0,-2.86E-01,-4.31E-02,-3.24E-01,-7.06E-02,2.30E-01,9.89E-03,5.64E-02,-7.92E-01,-3.43E-02,-4.78E-01,0,8.52E-02,0,-6.06E-01,0,1.63E-02,0,-3.40E-02,0,-1.99E-01,-1.97E-01,1.29E-01,0,0,-1.72E-01,-9.50E-01,-8.52E-02,3.82E-02,-1.97E-02,-1.12E+00,0,-3.90E-01,4.36E-01,3.23E-01,-8.38E-01,1.11E-01,1.84E-01,-1.03E-01,-3.86E-01,-1.63E-01,-3.48E-03,0,-2.33E-01,0,3.11E-01,-5.11E-01,0,-1.05E+00,0,-4.64E-01,-3.23E-01,4.11E-02,1.37E-02,0,6.00E-02,1.32E-01,8.82E-02,-5.40E-02,7.24E-02,-5.05E-01,-4.73E-01,-3.68E-01,-2.09E-01,-3.60E-01,-4.50E-02,-2.26E-02,-4.22E-01,-1.47E-01,0,2.12E-01,5.38E-02,0,1.13E-01,-2.46E-01,1.88E-01,-2.40E-01,0,-2.09E-01,0,0,-1.20E-01,20
90 min no VEGF_3,1.05E-01,-1.50E-02,-1.17E-01,6.98E-01,-1.02E+00,6.58E-02,0,-4.00E-01,-1.10E+00,2.32E-02,-4.04E-01,0,-1.16E+00,-1.20E+00,0,-1.26E+00,-2.42E-01,-2.36E-01,1.15E-01,1.87E-01,-3.78E-01,8.04E-02,-1.20E+00,-6.94E-02,-1.48E+00,0,0,-1.35E+00,-7.95E-01,0,8.46E-02,-1.05E+00,-3.76E-01,0,-1.15E-01,-3.26E-01,-4.68E-03,0,0,-2.49E-01,-2.62E-01,-1.32E-02,-4.28E-02,3.87E-04,-5.79E-01,0,-7.33E-01,-3.13E-01,2.82E-01,-3.41E-01,1.22E-01,2.70E-01,-1.13E-01,-2.22E-01,-1.22E-01,8.28E-02,-2.09E-01,0,0,7.66E-02,-4.10E-01,-4.44E-01,-7.08E-01,0,-1.02E-01,-4.88E-01,-1.91E-01,-5.03E-02,0,-3.20E-02,-1.45E-01,4.16E-02,1.81E-01,3.13E-01,-1.14E+00,-1.13E-01,0,5.17E-02,-6.48E-01,-1.05E-01,-3.47E-01,-9.39E-01,-3.85E-02,-1.75E-01,2.74E-01,-2.29E-01,-4.81E-01,2.36E-01,1.05E-01,9.93E-04,-2.34E-01,0,-4.13E-01,0,0,-6.69E-03,18
16 min VEGF_2,2.34E-01,-2.23E-02,0,0,1.35E-01,0,5.32E-01,5.33E-01,3.34E-02,3.72E-01,9.43E-02,0,-1.92E-02,1.33E-01,0,-2.56E-01,-1.74E-01,-3.02E-01,4.46E-01,-5.65E-01,4.73E-01,3.71E-03,0,-2.56E-02,2.71E-01,0,4.21E-01,0,0,0,2.57E-01,0,1.44E-01,0,-6.69E-01,5.35E-02,-2.16E-01,0,0,-2.13E-01,2.23E-01,-2.82E-01,-7.53E-02,-3.53E-02,3.16E-01,0,-2.81E-01,0,0,0,-5.91E-02,0,-5.87E-01,0,-3.61E-01,-1.06E-01,0,2.32E-01,0,4.43E-01,-1.57E-01,0,1.96E-01,9.13E-01,4.70E-01,-3.80E-02,2.32E-01,-2.48E-01,4.56E-01,0,0,-1.25E-01,-4.09E-02,-2.05E-01,-4.00E-01,-1.97E-01,1.67E-01,0,2.77E-01,-1.99E-01,-3.60E-01,9.04E-02,-3.86E-02,0,2.57E-01,4.28E-01,0,-9.65E-02,7.94E-02,1.83E-01,2.78E-01,0,0,0,0,-6.06E-02,32
16 min VEGF_3,7.17E-02,4.13E-01,2.79E-01,2.22E-01,-4.68E-01,3.60E-02,-1.22E-01,-2.35E-01,-9.99E-01,5.34E-01,-1.53E-01,0,-1.04E+00,-6.68E-01,0,-1.12E+00,6.29E-01,2.51E-01,1.27E-01,5.25E-01,-4.41E-02,2.04E-01,-1.52E-01,2.55E-01,-1.35E+00,0,-3.09E-01,1.46E-01,-5.73E-01,0,-2.41E-01,-5.31E-01,4.07E-01,0,5.65E-02,3.50E-01,1.98E-01,0,0,2.23E-01,-1.27E-01,3.63E-01,-9.63E-02,9.93E-02,-4.28E-01,0,-4.87E-01,4.37E-02,0,-2.11E-01,6.22E-01,4.03E-01,1.74E-01,3.51E-01,2.98E-01,5.85E-01,1.36E-01,0,0,5.17E-02,1.59E-01,0,0,0,-3.79E-01,-5.97E-01,4.87E-02,3.35E-01,9.49E-02,0,3.03E-01,5.44E-01,1.09E-01,8.30E-01,-3.38E-01,-1.01E-01,-5.55E-01,0,-3.73E-01,-1.71E-01,3.32E-01,3.74E-02,-1.23E-01,0,3.26E-01,0,-6.05E-01,7.86E-02,4.72E-01,-2.34E-02,8.19E-02,0,-2.96E-02,0,0,-1.48E-01,21
02 min VEGF_1,9.86E-02,-3.80E-01,-3.42E-01,0,-8.47E-02,0,2.56E-01,3.36E-01,-3.61E-01,-3.89E-02,-2.24E-01,0,-6.72E-02,-1.59E-01,0,-7.45E-02,-1.03E+00,-2.19E-01,-2.18E-01,-9.99E-01,3.53E-01,-4.76E-01,-1.08E-01,1.57E-01,-2.53E-01,0,0,0,-8.74E-02,0,-1.25E-01,0,-1.92E-01,0,1.78E-01,3.18E-01,-6.16E-02,0,0,-2.20E-01,2.18E-02,-9.02E-02,-2.74E-01,3.09E-02,3.20E-01,0,4.12E-02,0,0,0,-6.40E-01,8.21E-02,-5.59E-01,-4.21E-01,-5.16E-01,-3.61E-01,0,0,0,3.74E-01,-8.04E-01,0,0,0,8.84E-02,2.23E-01,1.21E-01,1.04E-01,6.31E-01,0,0,-4.66E-01,6.59E-02,-7.61E-01,-3.58E-01,-2.87E-01,0,0,1.11E-01,-1.30E-01,-8.50E-01,-1.32E-01,1.58E-01,0,1.58E-01,0,0,-7.48E-01,-3.09E-01,-3.23E-01,-1.94E+00,0,0,0,0,-6.14E-02,33
02 min VEGF_2,8.93E-02,-5.99E-01,-3.45E-01,8.45E-03,0,-2.14E-01,-8.64E-01,-6.73E-01,-9.29E-01,-5.46E-01,-8.28E-01,0,-9.57E-01,-1.05E+00,0,-1.01E+00,-5.99E-01,-4.02E-01,-3.88E-01,-5.84E-01,-6.06E-01,-3.88E-01,-1.12E+00,-4.35E-01,-1.15E+00,0,-3.28E-01,0,-8.29E-01,0,-2.41E-01,-9.86E-01,-3.42E-01,0,-3.33E-01,-6.64E-01,-4.63E-01,0,-6.70E-01,-5.53E-01,-3.38E-01,-3.24E-01,-2.21E-01,5.60E-02,-1.01E+00,0,-2.85E-01,-1.59E-01,-9.33E-03,0,-4.96E-01,-7.33E-01,-9.22E-01,-5.17E-01,-4.87E-01,-3.59E-01,-4.65E-01,-1.03E+00,0,-2.57E-01,-1.11E+00,-7.75E-01,-9.76E-01,0,-7.83E-01,-3.88E-01,2.37E-03,-2.75E-01,-3.77E-01,0,-1.08E+00,-3.97E-01,-3.41E-01,-4.13E-01,-5.85E-01,-7.87E-01,-9.58E-01,-6.07E-01,-9.73E-01,-1.45E-01,-5.39E-01,-5.29E-01,-1.44E-01,-4.03E-01,-3.51E-01,-7.60E-01,-6.93E-01,-2.08E-01,-2.52E-01,-1.97E-01,-7.67E-01,0,-8.45E-01,0,0,-1.59E-01,16
30 min VEGF_1,1.17E-01,-8.34E-02,-9.40E-02,0,-1.16E+00,1.05E-02,-8.56E-01,-9.64E-01,-1.49E+00,-3.63E-02,-2.98E-01,0,-1.48E+00,-1.49E+00,0,-1.44E+00,2.90E-01,-6.44E-02,-4.30E-01,-1.71E-01,-9.68E-01,-7.14E-02,-4.42E-01,-2.25E-01,-2.01E+00,0,-1.41E+00,-3.86E-01,-1.78E+00,-7.56E-01,-9.79E-02,-7.50E-01,1.44E-01,0,-2.18E-01,-7.12E-02,-2.28E-01,0,-9.23E-01,-2.83E-01,-6.73E-01,-2.48E-01,-1.56E-01,1.01E-01,-1.09E+00,-9.66E-01,-5.10E-01,-6.01E-01,0,-1.01E+00,2.53E-01,4.25E-01,-2.09E-01,-3.57E-03,-7.57E-02,9.17E-02,-3.17E-01,-9.69E-01,0,-1.62E-01,2.85E-01,-7.13E-01,-1.48E+00,0,-4.93E-01,-7.62E-01,-2.55E-01,-3.45E-01,-4.42E-01,0,-4.89E-02,-1.96E-02,-7.05E-01,2.87E-01,-5.14E-01,-5.14E-01,-1.23E+00,0,-1.08E+00,-2.18E-01,3.41E-02,-2.52E-01,-2.82E-01,0,-2.56E-01,-4.26E-01,-1.04E-01,5.95E-02,1.75E-01,-2.51E-01,-1.26E-01,0,-3.26E-01,0,0,-2.89E-01,15
30 min VEGF_3,9.14E-02,-2.77E-01,-4.40E-01,0,-7.53E-01,1.15E-01,-3.03E-02,-2.12E-01,-7.10E-01,5.36E-02,-6.01E-01,0,-7.63E-01,-6.41E-01,0,-5.74E-01,-2.85E-01,-4.89E-01,-3.45E-01,-2.48E-01,-5.45E-01,-1.63E-01,-6.44E-01,-4.23E-01,-7.54E-01,0,-2.16E-01,0,-9.28E-01,-2.16E-01,-1.79E-01,-6.60E-01,-2.91E-01,0,-3.21E-01,-3.59E-01,-3.96E-01,0,0,-5.65E-01,-7.89E-02,-2.82E-01,-1.94E-01,5.05E-02,-2.16E-01,0,-6.32E-01,-3.55E-01,1.88E-01,-2.42E-01,-2.16E-01,-2.06E-02,-3.51E-01,-3.19E-01,-4.27E-01,-1.45E-02,-1.07E+00,2.07E-01,0,-2.54E-01,-2.00E-01,-1.96E-01,-1.54E+00,0,-4.55E-01,-1.08E+00,-2.37E-01,-4.63E-01,0,0,-2.48E-01,-9.78E-02,-3.73E-01,-4.56E-02,-5.27E-01,-5.19E-01,-5.51E-01,0,-4.90E-01,-1.42E-01,-3.92E-01,-6.79E-01,-2.34E-01,0,-2.74E-01,-2.66E-01,1.63E-01,-1.08E-01,-1.51E-01,-2.32E-01,-4.92E-01,0,0,0,0,-7.26E-02,19
45 min VEGF_1,9.95E-02,2.72E-03,1.90E-02,6.42E-01,-6.56E-02,5.80E-01,-2.16E-01,-4.79E-02,-5.86E-02,-3.24E-01,4.49E-02,0,-1.22E-01,-2.83E-01,0,9.79E-02,2.53E-02,-7.31E-04,-7.46E-02,-1.89E-01,0,3.10E-01,2.83E-01,1.22E-01,-1.11E-01,0,-7.22E-02,-3.39E-01,-3.41E-01,0,4.96E-01,-1.22E-01,9.24E-02,0,-5.70E-02,3.05E-01,3.89E-01,0,0,-8.61E-02,2.47E-01,-1.88E-01,-1.15E-01,-5.42E-02,-1.57E-01,0,-3.19E-01,0,5.62E-01,1.77E-01,1.21E-01,0,-8.56E-02,5.26E-01,3.13E-01,4.76E-01,7.91E-01,-4.09E-01,0,0,1.87E-01,1.69E-01,0,0,-4.26E-02,-7.55E-01,3.67E-01,1.29E-01,0,0,4.90E-01,1.44E-01,-2.66E-01,4.30E-01,-3.32E-01,3.83E-01,-4.04E-01,2.35E-01,-2.65E-01,-4.54E-02,1.12E-01,-5.41E-01,2.34E-03,0,-2.69E-01,4.62E-01,2.17E-01,-2.73E-01,6.44E-01,-6.13E-01,-2.50E-01,0,-1.92E-01,0,0,1.53E-01,21
45 min VEGF_2,1.79E-01,3.12E-02,-5.21E-01,6.12E-01,-4.15E-01,2.07E-01,-2.09E-01,-1.14E-02,-1.13E+00,1.07E-03,-2.99E-01,0,-8.03E-01,-7.94E-01,0,-4.22E-01,-1.98E-01,1.54E-01,-1.20E-01,-6.31E-05,-4.85E-01,-1.50E-01,-7.96E-01,-8.08E-02,-5.28E-01,0,-2.27E-01,-3.15E-01,0,0,2.06E-02,0,1.41E-01,0,-1.21E-02,-6.96E-02,9.32E-02,0,0,-4.02E-01,-3.54E-01,-5.85E-02,-2.71E-01,9.12E-02,-3.25E-01,0,-2.00E-01,1.34E-01,0,-5.06E-02,-5.17E-01,0,-2.23E-01,-3.40E-02,-7.87E-02,-2.50E-02,6.67E-03,1.15E-01,0,-8.31E-02,-8.59E-01,0,0,0,0,-3.70E-01,1.16E-01,4.66E-02,2.63E-01,0,-3.33E-01,-4.93E-02,-1.72E-01,3.18E-01,-2.68E-01,-3.26E-01,-4.17E-01,0,-2.85E-01,-2.70E-01,-9.55E-02,-4.38E-01,-1.78E-01,0,-2.00E-01,-1.54E-02,-2.60E-01,-1.81E-01,1.28E-01,-5.77E-01,-5.11E-02,0,0,0,0,-1.56E-01,24
04 min VEGF_1,2.03E-01,-2.15E-01,-3.00E-01,-2.27E-01,-1.31E+00,-1.53E-01,-9.35E-01,-8.74E-01,-1.06E+00,5.67E-02,-1.51E-01,0,-2.01E+00,-1.82E+00,-9.26E-01,-1.73E+00,-1.28E-01,-1.71E-01,-5.96E-01,-1.94E-01,-6.92E-01,-2.30E-01,-3.50E-01,-3.88E-01,-1.35E+00,0,1.65E-02,-4.13E-01,-1.01E+00,-9.08E-01,-2.06E-01,-6.07E-01,1.68E-01,0,-1.88E-01,-1.68E-01,-1.06E-01,0,-6.50E-01,-2.75E-01,-1.73E-01,-1.06E-01,-2.73E-01,4.95E-02,-7.19E-01,-1.36E+00,-4.26E-01,-3.11E-02,0,-9.51E-01,-7.01E-02,-2.35E-02,-2.67E-01,-3.94E-01,-2.79E-01,-1.28E-01,-1.05E-01,-4.00E-01,0,2.34E-02,-3.96E-01,0,-1.13E+00,-5.20E-01,-5.60E-01,-8.02E-01,-4.04E-02,-9.16E-02,-4.62E-01,0,-1.91E-01,-1.70E-01,-1.02E-02,7.55E-02,-4.72E-01,-6.90E-01,-9.34E-01,-9.14E-01,-1.31E+00,-2.52E-01,-2.28E-01,-3.95E-01,-1.81E-01,0,-3.86E-02,-2.68E-01,-3.86E-01,-1.58E-01,-9.89E-02,-4.36E-02,-6.32E-01,0,-5.62E-01,0,0,-2.62E-01,12
04 min VEGF_2,6.19E-02,-2.60E-01,-2.45E-01,8.09E-01,-8.16E-01,-2.11E-01,-6.22E-01,-3.58E-01,-1.84E-01,-2.99E-01,-1.53E-01,0,-2.12E-01,-1.80E-01,0,-1.59E-01,-4.33E-01,9.32E-02,9.35E-02,-3.95E-01,-7.40E-01,1.13E-01,-8.12E-01,-3.68E-01,-1.42E-01,0,0,-5.91E-01,0,0,-3.02E-01,-6.93E-01,4.83E-01,0,5.41E-02,-3.46E-01,-4.60E-02,0,-4.48E-01,-9.14E-02,-1.06E-01,1.96E-01,-5.99E-02,2.60E-02,-6.87E-01,0,-1.46E-01,-5.33E-02,-2.37E-01,0,-1.08E-01,-1.66E-01,-4.14E-01,-7.05E-01,-3.30E-01,-2.81E-01,-3.47E-01,-4.14E-01,0,2.23E-01,4.33E-02,0,-4.75E-01,0,-5.85E-01,1.53E-01,1.72E-01,2.11E-01,7.00E-02,0,-2.09E-01,-2.57E-01,3.71E-01,-4.45E-02,-2.90E-01,-3.65E-01,0,-1.19E-01,-5.25E-01,-8.79E-02,-1.18E-01,-1.18E-01,3.41E-02,1.74E-01,-1.28E-01,-2.89E-02,-8.99E-02,-1.40E-01,-2.35E-01,-8.94E-02,-4.45E-01,0,-6.10E-01,0,0,1.03E-02,18
60 min VEGF_2,6.42E-03,0,0,0,4.22E-01,0,7.37E-01,5.85E-01,-1.21E-01,0,-4.28E-01,0,2.49E-01,0,1.21E+00,4.21E-02,-3.60E-01,-4.98E-01,0,2.45E-02,0,6.94E-02,4.26E-01,1.67E-01,4.55E-02,0,0,0,0,0,2.20E-01,0,2.12E-01,0,3.27E-01,0,8.74E-01,0,0,9.14E-02,0,9.05E-02,1.14E-01,-4.94E-02,5.77E-01,0,2.16E-01,0,0,0,-1.69E-01,0,-1.60E-01,5.12E-01,-2.88E-01,9.96E-02,0,0,0,0,2.27E-01,0,0,0,0,-4.57E-01,1.66E-01,6.73E-02,0,0,1.22E-01,1.17E-01,0,2.96E-01,6.75E-02,0,0,0,6.63E-01,4.30E-02,-2.02E-01,3.30E-01,3.04E-02,0,0,0,8.11E-01,1.20E-01,-5.11E-02,8.51E-02,1.54E-01,0,0,0,0,1.75E-01,46
60 min VEGF_3,6.49E-02,-2.17E-01,2.63E-01,0,-2.21E-02,7.50E-01,4.30E-01,3.89E-01,4.80E-01,1.59E-01,-9.24E-02,0,3.97E-01,5.32E-01,0,6.86E-01,-1.10E-01,3.16E-01,5.78E-01,-1.52E-02,1.25E-01,-9.11E-02,2.13E-02,8.79E-02,4.26E-01,0,7.60E-01,2.77E-01,0,0,1.88E-01,0,1.76E-01,0,2.33E-01,0,-3.24E-01,0,0,-5.55E-01,6.44E-02,-2.57E-02,-1.95E-02,3.86E-02,-1.03E-01,0,-1.98E-01,7.60E-01,0,0,-3.97E-01,4.84E-01,-2.32E-01,-2.64E-02,9.56E-02,-2.53E-01,0,1.47E-01,0,0,-3.12E-01,3.46E-01,0,0,0,-5.49E-01,-3.70E-01,-4.85E-02,0,7.32E-01,-5.51E-03,-2.40E-02,9.37E-02,-1.02E-02,7.27E-02,2.00E-01,0,0,2.21E-01,-1.03E-01,2.12E-02,-6.42E-01,-4.44E-01,0,0,0,1.32E-01,4.48E-02,1.90E-01,2.41E-01,-5.35E-01,0,5.20E-01,0,0,-6.11E-02,29
08 min VEGF_1,9.88E-02,-6.29E-01,-5.41E-01,0,-6.33E-01,2.66E-01,-7.89E-02,-1.49E-01,-9.82E-02,-2.92E-01,-5.90E-01,0,-7.70E-02,-2.61E-02,0,1.47E-01,-3.85E-01,-3.72E-01,0,-3.02E-01,-2.35E-01,-1.94E-01,-3.76E-01,-4.22E-01,-8.92E-02,0,0,0,0,0,1.84E-01,-6.10E-01,-3.39E-01,0,-3.91E-01,2.45E-02,-3.34E-01,0,0,-7.18E-01,-7.24E-01,-6.20E-01,-1.31E-01,1.07E-01,-4.19E-01,0,-5.43E-01,5.69E-01,9.40E-01,0,-2.57E-01,0,-4.74E-01,-4.93E-01,-3.74E-01,-7.79E-01,-1.41E-01,-3.22E-01,0,1.30E-01,-2.01E-01,0,0,0,-2.90E-01,-1.36E+00,-4.02E-01,-4.57E-01,0,0,-1.56E-01,-2.57E-01,-8.24E-01,-4.01E-01,-7.45E-01,-6.02E-01,0,3.42E-01,-1.07E-01,-2.06E-01,-4.00E-01,0,-2.02E-01,0,0,-2.35E-01,-1.04E-02,-1.60E-01,7.44E-02,-1.91E-01,-2.75E-01,0,7.56E-02,0,0,-1.19E-01,28
